ProdId,TimeId,RegionId,MerchantId,Price_USD
21,20170101,4,32,3117.1674353944
21,20170102,4,32,3102.8234390814
21,20170103,4,32,3086.0217293207
21,20170104,4,32,3103.4733130869
21,20170105,4,32,3140.6719726434
21,20170106,4,32,3127.7115215479
21,20170107,4,32,3121.3863902873
21,20170108,4,32,3121.0083532114
21,20170109,4,32,2799.1471065059
21,20170110,4,32,2798.4074132797
21,20170111,4,32,2784.1343288814
21,20170112,4,32,2823.2513085748
21,20170113,4,32,2812.9770316456
21,20170114,4,32,2817.4824889541
21,20170115,4,32,2818.0673088864
21,20170116,4,32,2806.4614726829
21,20170117,4,32,2831.3886541965
21,20170118,4,32,2828.7264088783
21,20170119,4,32,2814.7941779453
21,20170120,4,32,2827.2676297027
21,20170121,4,32,2833.0622030052
21,20170122,4,32,2833.0622030052
21,20170123,4,32,2843.4089541978
21,20170124,4,32,2846.2369695764
21,20170125,4,32,2845.579145391
21,20170126,4,32,2196.1620772277
21,20170127,4,32,2202.0567110445
21,20170128,4,32,2202.9165351747
21,20170129,4,32,2203.3054432104
21,20170130,4,32,2201.2093225441
21,20170131,4,32,2222.1119156298
21,20170201,4,32,2215.0368768846
21,20170202,4,32,2223.8877429434
21,20170203,4,32,2221.7163407507
21,20170204,4,32,2221.2011059695
21,20170205,4,32,2221.2130854596
21,20170206,4,32,2841.7606011808
21,20170207,4,32,2829.8820837921
21,20170208,4,32,2204.1544466565
21,20170209,4,32,2194.617330264
21,20170210,4,32,2191.9075800797
21,20170211,4,32,2191.3244584437
21,20170212,4,32,2191.3594369924
21,20170213,4,32,2182.2955193026
21,20170214,4,32,2177.5601777928
21,20170215,4,32,2183.401545193
21,20170216,4,32,2195.5883947023
21,20170217,4,32,2187.2164306059
21,20170218,4,32,2186.217940211
21,20170219,4,32,2185.8002381192
21,20170220,4,32,2187.1583538675
21,20170221,4,32,2171.9790458109
21,20170222,4,32,2170.7197947961
21,20170223,4,32,2179.4500008819
21,20170224,4,32,2178.5968698645
21,20170225,4,32,2175.0876247916
21,20170226,4,32,2175.0876247916
21,20170227,4,32,2188.8833851698
21,20170228,4,32,2186.9376903865
21,20170301,4,32,2175.915016968
21,20170302,4,32,2165.0142809581
21,20170303,4,32,2173.2397586759
21,20170304,4,32,2187.5649558167
21,20170305,4,32,2187.6462943486
21,20170306,4,32,2179.2424210355
21,20170307,4,32,2178.758221799
21,20170308,4,32,2792.3584885757
21,20170309,4,32,2801.608720961
21,20170310,4,32,2197.9904932684
21,20170311,4,32,2198.2368587263
21,20170312,4,32,2197.7324553445
21,20170313,4,32,2196.5368888888
21,20170314,4,32,2190.7183409752
21,20170315,4,32,2227.8333333333
21,20170316,4,32,2248.4038365185
21,20170317,4,32,2250.0949106407
21,20170318,4,32,2248.8142922085
21,20170319,4,32,2250.1280384509
21,20170320,4,32,2248.8594894593
21,20170321,4,32,2264.8505036085
21,20170322,4,32,2263.161686569
21,20170323,4,32,2259.0846655591
21,20170324,4,32,2262.9904980081
21,20170325,4,32,2262.904913439
21,20170326,4,32,2262.904913439
21,20170327,4,32,2275.9266504376
21,20170328,4,32,2270.0551376272
21,20170329,4,32,2252.4756024982
21,20170330,4,32,2243.8957314318
21,20170331,4,32,2236.1353256393
21,20170402,4,32,2229.5534771619
21,20170403,4,32,2229.5772545005
21,20170404,4,32,2229.0661534607
21,20170405,4,32,2225.7319280315
21,20170406,4,32,2226.7513074227
21,20170407,4,32,2224.2092728242
21,20170408,4,32,2222.077484242
21,20170409,4,32,2214.0992443618
21,20170410,4,32,2216.7638638532
